Timestamp,School,Count
2026-03-25 23:10,Syracuse Junior High,52
2026-03-25 23:10,North Davis Junior High,1
2026-03-25 23:10,Bountiful Junior High,1
2026-03-25 23:10,,2
2026-03-25 23:10,Bountiful Elementary,1
2026-03-25 23:10,Syracuse High,1
2026-03-25 23:10,Sunset Junior High,5
2026-03-25 23:10,Horizon Junior High,2
2026-03-25 23:10,Cook Elementary,3
2026-03-25 23:10,Syracuse Arts Academy Jr. High,1
2026-03-25 23:10,Sunset Elementary,1
2026-03-25 23:10,Other,1
2026-03-25 23:10,North Ogden Junior High,1
