Role,School,Grade
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,West Field High,Staff
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,N/A,N/A
Student,Bountiful Junior High,Grade Collage
Student,N/A,N/A
Student,Syracuse Junior High,Grade 9
Student,N/A,N/A
Student,N/A,N/A
Student,N/A,N/A
Student,Adams Elementary,Grade 10
Student,N/A,N/A
Student,N/A,N/A
Student,N/A,N/A
Student,N/A,N/A
Admin,N/A,N/A
Student,N/A,N/A
Student,N/A,N/A
Teacher,Syracuse Junior High,Staff
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Student,Cook Elementary,Grade K-6
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Guardian,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,N/A,N/A
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Moderator,N/A,N/A
Student,Syracuse High,Grade 10
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Moderator,N/A,N/A
Student,Cook Elementary,Grade K-6
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 8
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Sunset Junior High,Grade 9
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Syracuse Junior High,Grade 8
Student,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Student,Syracuse High,Grade 10
Student,N/A,N/A
Student,Syracuse High,Grade 10
Student,Sunset Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Student,Horizon Junior High,Grade 9
Student,Cook Elementary,Grade K-6
Student,Syracuse Junior High,Grade 9
Admin,Syracuse Arts Academy Jr. High,Grade 9
Student,Sunset Junior High,Grade 7
Moderator,Cook Elementary,Grade K-6
Student,Cook Elementary,Grade K-6
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Moderator,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
Student,Sunset Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Sunset Junior High,Grade 9
Student,Sunset Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,N/A,N/A
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Sunset Junior High,Grade 9
Student,Syracuse Junior High,Grade 7
Student,Horizon Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 7
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
Student,N/A,N/A
Admin,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 7
Student,North Ogden Junior High,Grade 9
Teacher,N/A,N/A
Student,Syracuse Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Moderator,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 7
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 9
Student,Syracuse Junior High,Grade 8
Student,Syracuse Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
Admin+,Syracuse Junior High,Grade 9
Admin,Syracuse Junior High,Grade 9
